original_object	original_description	gpt_simplification
lattiera	Lattiera con corpo globulare; piede circolare; manico a "C" schiacciato; ; beccuccio sporgente; fondo bianco decorato con grappolo d'uva; bordo rifinito in verde.	Questa è una lattiera. Ha una forma rotonda con un piede circolare. Ha un manico a forma di \"C\" che è schiacciato. Il beccuccio sporge in avanti. Il fondo è bianco e decorato con un grappolo d'uva. Il bordo è rifinito in verde.
Kappa su granchio, CREATURA FANTASTICA e ANIMALE (scultura)	Questo netsuke raffigura un granchio (kani) sul quale sta posato un kappa, la cui zampa anteriore sinistra è trattenuta dalla chela destra del mollusco. I due fori dell'himotoshi sono ubicati sul lato inferiore della composizione.	Questo netsuke è una piccola scultura che rappresenta un granchio, chiamato 'kani'. Sopra il granchio c'è un kappa, una creatura della mitologia giapponese. Il kappa tiene la zampa anteriore sinistra del granchio con la chela destra. Ci sono due fori chiamati himotoshi sul lato sotto di questa scultura.
statua (elemento d'insieme)	L'apostolo è rappresentato con una tunica legata a vita ed un mantello chiuso con una fibia sulla spalla destra; il volto è incorniciato da una folta barba a torciglioni e lunghi capelli; in mano tiene un libro	Qui vediamo un apostolo. Indossa una tunica legata in vita e un mantello chiuso con una fibbia sulla spalla destra. Ha una folta barba arricciata e lunghi capelli. Nella mano tiene un libro.
statua (elemento d'insieme)	Il profeta è rappresentato con ampia tunica, capelli lunghi e copricapo; con la mano destra poggiata sul petto tiene un cartiglio, mentre con la sinistra regge un lembo della tunica	Il profeta che vediamo indossa un'ampia tunica. Ha capelli lunghi e un copricapo. Con la mano destra si tocca il petto e tiene un cartiglio. Con la mano sinistra tiene un lembo della tunica.
dipinto (elemento d'insieme)	L'arcangelo è raffigurato con i gigli nella destra, la sinistra levata e l'abito ancora gonfiato dal vento	L'arcangelo è rappresentato mentre tiene dei gigli nella mano destra. La mano sinistra è sollevata e il suo abito è gonfiato dal vento.
statua (elemento d'insieme)	David è raffigurato seduto sul frontone con l'arpa in mano e la corona sul capo	David è raffigurato seduto su un frontone. Ha un'arpa in mano e indossa una corona sulla testa.
scomparto di polittico (elemento d'insieme)	San Giorgio, riccamente abbigliato, trafigge il drago con la lancia	San Giorgio è rappresentato in abiti ricchi e sta trafiggendo un drago con una lancia.
statua (elemento d'insieme)	San Francesco d'Assisi è raffigurato con la destra al petto e lo sguardo volto verso l'alto	San Francesco d'Assisi è rappresentato con la mano destra sul petto e lo sguardo rivolto verso l'alto.
dipinto (elemento d'insieme)	Il santo è caratterizzato da un libro aperto	Il santo che vediamo ha un libro aperto in mano.
dipinto (elemento d'insieme)	Il santo è dipinto mente scrive, con l'abito vescovile. La schedatrice identifica il santo con Sant'Agostino, ma sembra più probabile che sia San Giacomo apostolo, visto il tema della serie	Il santo è dipinto mentre scrive. Ha un abito da vescovo. La schedatrice crede che sia Sant'Agostino, ma potrebbe essere San Giacomo apostolo, per il tema della serie.
dipinto (elemento d'insieme)	Il santo regge il libro nella sinistra e l'alabarda nella destra	Il santo tiene un libro nella mano sinistra e un'alabarda nella mano destra.
dipinto (elemento d'insieme)	Il santo è raffigurato mentre scrive e ha lo sguardo volto verso l'alto	Il santo è raffigurato mentre scrive e guarda verso l'alto.
dipinto (elemento d'insieme)	Il dipinto non è del tutto leggibile, non è chiaro cosa regga in mano il santo	Il dipinto non è completamente leggibile. Non è chiaro cosa tenga in mano il santo.
statua (elemento d'insieme)	La statua mostra un linguaggio scenografico seppure contenuto in uno schema classico	La statua mostra uno stile scenografico, anche se segue un schema classico.
scomparto di polittico (elemento d'insieme)	Nello scomparto sono raffigurati un santo vescovo, con pianeta, mitra e pastorale, e San Pietro, con il libro e la chiave; il soffitto cassettonato, sorretto da una colonna, è coerente, dal punto di vista della prospettiva, con il pannello centrale. Sullo sfondo è un paesaggio	Nello scomparto sono raffigurati un santo vescovo con pianeta, mitra e pastorale, e San Pietro con un libro e una chiave. Il soffitto è cassettonato e sorretto da una colonna, in correlazione con il pannello centrale. Sullo sfondo si vede un paesaggio.
scomparto di polittico (elemento d'insieme)	San Paolo, con la spada, e San Giovanni Battista con la croce di canne, sono in uno spazio architettonico simmetrico rispetto al pannello precedente, e coerente prospetticamente con lo scomparto centrale	San Paolo ha una spada e San Giovanni Battista ha una croce di canne. Sono in uno spazio architettonico simmetrico rispetto al pannello precedente e coerente con lo scomparto centrale.
scomparto di polittico (elemento d'insieme)	Il Cristo è raffigurato a mezza figura, con le mani sul petto	Il Cristo è rappresentato a mezza figura con le mani sul petto.
dipinto	Il dipinto raffigura un santo apostolo, a mezzo busto, con un libro in mano e tenente sotto il braccio una croce astile. La figura è barbuta e torce il collo, voltandosi all'indietro e rivolgendo lo sguardo verso l'alto. I colori sono mantenuti in tonalità piuttosto basse e soffocati dallo sporco	Il dipinto rappresenta un santo apostolo a mezza figura con un libro in mano. Tiene una croce sotto il braccio. Ha una barba e volge lo sguardo verso l'alto. I colori sono scuri e un po' sporchi.
dipinto	Il dipinto raffigura San Simone Apostolo, a mezzo busto, di tre quarti, reggente con la mano destra la sega, attributo che lo identifica	Il dipinto rappresenta San Simone Apostolo a mezzo busto, di tre quarti. Tiene in mano una sega, che è il suo attributo.
dipinto	Il dipinto raffigura San Bartolomeo, a mezzo busto, il quale con la mano sinistra mostra la pelle scorticata	Il dipinto rappresenta San Bartolomeo a mezzo busto. Con la mano sinistra mostra la pelle scorticata.
dipinto	Al centro della scena è raffigurato Gesù Bambino sdraiato nella magiatoia, con ai lati S. Giuseppe e la Madonna in adorazione. Sulla destra vi sono il bue, l'asino e la figura del pastore. In alto c'è un angioletto che innalza un cartiglio	Al centro della scena vediamo Gesù Bambino sdraiato nella mangiatoia. Ai lati ci sono San Giuseppe e la Madonna in adorazione. A destra ci sono un bue, un asino e un pastore. In alto c'è un angioletto che tiene un cartiglio.
dipinto	Al centro della scena è raffigurato Simeone col Bambino in braccio, davanti al quale in primo piano è raffigurato un cesto di colombi. Sulla sinistra ci sono la Madonna, inginocchiata, e S. Giuseppe in piedi. Sullo stesso lato in secondo piano si affaccia S. Anna ed una figura maschile	Al centro della scena è rappresentato Simeone che tiene in braccio il Bambino. Davanti a lui, in primo piano, c'è un cesto di colombi. Sulla sinistra ci sono la Madonna, inginocchiata, e San Giuseppe in piedi. Sullo stesso lato, in secondo piano, si vede San Anna e una figura maschile.
dipinto	La scena raffigura Cristo seduto, coperto da un mantello, con le mani legate, mentre gli stanno al fianco due carnefi, di cui uno gli conficca la corona di spine in capo tramite un bastone	La scena mostra Cristo seduto, coperto da un mantello, con le mani legate. Al suo fianco ci sono due carnefici. Uno di loro sta mettendo la corona di spine sulla testa di Cristo usando un bastone.
dipinto	La scena raffigura Cristo crocifisso con con Maria e S. Giovanni da un lato e la Maddalena inginocchiata che abbraccia la croce	La scena rappresenta Cristo crocifisso. Da un lato ci sono Maria e San Giovanni, mentre la Maddalena è inginocchiata abbracciando la croce.
scultura (elemento d'insieme)	Il legno è scolpito e dorato solo sul lato anteriore; dietro è cavo. L'Evangelista è raffigurato secondo l'iconografia tradizionale con l'angelo	Il legno è scolpito e dorato solo davanti; dietro è vuoto. L'Evangelista è rappresentato secondo l'iconografia tradizionale con l'angelo.
scultura (elemento d'insieme)	Il legno è scolpito e dorato solo sul lato anteriore; dietro è cavo. L'Evangelista è raffigurato secondo l'iconografia tradizionale con il leone ai suoi piedi	Il legno è scolpito e dorato solo davanti; dietro è vuoto. L'Evangelista è rappresentato secondo l'iconografia tradizionale con un leone ai suoi piedi.
dipinto	Nella parte inferiore del dipinto, diagonalmente, è dipinta la croce, a terra, con Cristo giacente su di essa, vestito del solo perizoma, con il capo cinto dalla corona di spine. Due sgherri, stanno piantando i chiodi nei palmi delle sue mani. Un soldato, con elmo, lorica e lancia in mano, osserva la scena	Nella parte bassa del dipinto, si vede una croce a terra con Cristo giacente sopra. È vestito solo con un perizoma e ha la corona di spine in testa. Due carnefici stanno piantando i chiodi nelle sue mani. Un soldato con elmo e lancia osserva la scena.
dipinto	Al centro della scena è raffigurato Cristo crocifisso vestito del solo perizoma e già morto. Ai lati in secondo piano i due ladroni crocifissi; mentre in primo piano ai lati della croce, ci sono: a sinistra la Madonna, a destra la Maddalena inginocchiata a baciare i piedi del Cristo e San Giovanni Evangelista in piedi	Al centro della scena è rappresentato Cristo crocifisso. È vestito solo con un perizoma e già morto. Ai lati, in secondo piano, ci sono i due ladroni crocifissi. In primo piano, ai lati della croce, ci sono: a sinistra la Madonna, a destra la Maddalena inginocchiata che bacia i piedi di Cristo e San Giovanni Evangelista in piedi.
dipinto	La scena raffigura il corpo esanime di Cristo, giacente sul sepolcro, avvolto dal sudario e pianto dalla Madonna e San Giovanni Evangelista	La scena mostra il corpo esanime di Cristo, giacente sul sepolcro, avvolto nel sudario e pianto dalla Madonna e San Giovanni Evangelista.
dipinto	Al centro della scena è rappresentato il Cristo, in piedi, con la tunica chiara, che rivece la croce, con due sgherri che lo aiutano ad issarla sulla spalla sinistra ed un'altra figura maschile di lato	Al centro della scena vediamo Cristo in piedi, con una tunica chiara, che riceve la croce. Due carnefici lo aiutano a issarla sulla spalla sinistra e un'altra figura maschile è di lato.
dipinto	Al centro della scena è rappresentato Cristo con la croce sulle spalle, che lungo la salita al Calvario, si ferma di fronte a Maria Vergine piangente	Al centro della scena, Cristo con la croce sulle spalle si ferma di fronte a Maria Vergine che piange.
dipinto	Al centro della scena è rappresentato Cristo con la croce sulla spalla. Sulla destra gli si avvicina la Veronica che tiene in mano il panno nel quale Cristo si è asciugato il volto e sul quale è rimasta la sua impronta. La donna è dipinta di profilo, indossa una veste chiara e il velo sul capo. Sulla sinistra ci sono due soldati che incitano Cristo a camminare	Al centro della scena, Cristo porta la croce sulla spalla. A destra, si avvicina Veronica, che tiene un panno con cui Cristo si è asciugato il volto, sul quale è rimasta la sua impronta. Veronica è dipinta di profilo, indossa una veste chiara e ha un velo in testa. A sinistra ci sono due soldati che incitano Cristo a camminare.
dipinto	Al centro della scena è raffigurato Cristo, con dietro gli sgherri, che sorregge la croce e si rivolge verso sinistra dove sono raffigurate alcune donne	Al centro della scena, Cristo, con dietro i carnefici, sorregge la croce e si rivolge verso sinistra, dove ci sono alcune donne.
dipinto	Nella parte inferiore del dipinto, a destra, è rappresentato il Cristo col capo cinto dalla corona di spine, che cade a terra, sotto il peso della croce. I carnefici incitano il Cristo a sollevarsi; uno di questi, di spalle, tirandolo per la corda che gli cinge la vita	Nella parte bassa del dipinto, a destra, vediamo Cristo con la corona di spine che cade a terra, sotto il peso della croce. I carnefici incitano Cristo a rialzarsi; uno di loro, di spalle, lo tira per la corda che gli cinge la vita.
dipinto (elemento d'insieme)	L'affresco raffigura al centro della scena, incorniciata da un'arcata a tutto sesto, Maria con in braccio il Bambino mentre lo avvicina al sacerdote che gli opera la circoncisione. Ai lati, ci sono due figure maschili, di cui una sulla destra con un libro in mano ed una sulla sinistra, accompagnata da una figura femminile (S. Giuseppe e S. Anna) con due colombi in mano. Sullo sfondo la facciata del tempio	L'affresco mostra al centro della scena, incorniciata da un'arcata, Maria con in braccio il Bambino. Lo avvicina al sacerdote che gli opera la circoncisione. Ai lati ci sono due figure maschili: una sulla destra con un libro in mano e una sulla sinistra, oltre a una figura femminile (San Giuseppe e San Anna) con due colombi in mano. Sullo sfondo si vede la facciata del tempio.
dipinto (elemento d'insieme)	L'affresco raffigura la Madonna seduta su di un semplice trono lineare, con Gesù Bambino seduto sulle sue ginocchia. Gesù ha al collo una croce ed è in atto benedicente. La Madonna regge nella mano sinistra un libro	L'affresco rappresenta la Madonna seduta su un semplice trono, con Gesù Bambino seduto sulle sue ginocchia. Gesù ha una croce al collo ed è in atto di benedire. La Madonna regge un libro nella mano sinistra.
dipinto (elemento d'insieme)	L'affresco rappresenta due riquadri inquadranti due busti di profeti biblici, che tengono in mano un cartiglio	L'affresco rappresenta due riquadri con busti di profeti biblici. Entrambi tengono un cartiglio in mano.
dipinto (elemento d'insieme)	L'affresco rappresenta la resurrezione di Cristo, il quale si erge sul sepolcro, in atto benedicente e col vessillo in mano. Ai lati del sepolcro ci sono i soldati, alcuni dei quali ancora addormentati, mentre di fronte un angelo è seduto sul coperchio del sarcofago poggiato, A destra si affacciano le due Marie con l'ampolla d'olio in mano	L'affresco rappresenta la resurrezione di Cristo. Egli si erge sul sepolcro, in atto di benedire e tiene un vessillo in mano. Ai lati del sepolcro ci sono soldati, alcuni dei quali sono ancora addormentati. Davanti a Cristo, un angelo è seduto sul coperchio del sarcofago. A destra, ci sono due Marie con un'ampolla d'olio in mano.
dipinto (elemento d'insieme)	L'affresco rappresenta Maria Maddalena, raffigurata sulla destra, che s'inginocchia davanti Cristo con la vanga in mano. Sull'estrema destra, dietro la figura della Maddalena, si affacciano alcuni apostoli	L'affresco mostra Maria Maddalena inginocchiata davanti a Cristo, mentre tiene una vanga in mano. Sull'estrema destra, dietro Maria Maddalena, si vedono alcuni apostoli.
dipinto (elemento d'insieme)	L'affresco rappresenta al centro della scena Cristo con le mani giunte avvolto da una nube e sospeso da terra. Al lato sinistro ci sono tre angeli adulti a figura intera, di cui uno tiene in mano un cartiglio. Sulla sinistra c'è un gruppo di figure maschili inginocchiate	L'affresco rappresenta al centro della scena Cristo con le mani giunte, avvolto da una nube e sospeso da terra. A sinistra ci sono tre angeli adulti a figura intera, uno dei quali tiene un cartiglio. Sulla sinistra, un gruppo di figure maschili è inginocchiato.
